resultId,raceId,driverId,grid,statusId,error_catagory,circuitId,turns,race_laps,full_throttle_percentage,driver_error_rate,constructor_error_rate,circuit_error_rate,label
79,21,11,22,11,Finished,4,16,66,0.72,0.082191781,0.282051282,0.069536424,0
80,21,3,15,5,Constructor,4,16,66,0.72,0.004854369,0.131428571,0.069536424,0
81,21,4,2,5,Constructor,4,16,66,0.72,0.011538462,0.137096774,0.069536424,0
82,21,22,11,4,Track,4,16,66,0.72,0.006896552,0.141509434,0.069536424,0
83,21,5,6,3,Track,4,16,66,0.72,0.017857143,0.155893536,0.069536424,0
85,21,7,16,4,Track,4,16,66,0.72,0.037037037,0.181415929,0.069536424,0
86,21,12,10,4,Track,4,16,66,0.72,0.107142857,0.137096774,0.069536424,0
87,21,16,20,4,Track,4,16,66,0.72,0.0234375,0.086614173,0.069536424,0
88,21,20,18,4,Track,4,16,66,0.72,0.010050251,0.181415929,0.069536424,0
89,22,13,1,1,Finished,5,14,58,0.69,0.019685039,0.072243346,0.032894737,1
90,22,1,3,1,Finished,5,14,58,0.69,0.009615385,0.155893536,0.032894737,1
91,22,8,4,1,Finished,5,14,58,0.69,0.00896861,0.072243346,0.032894737,1
92,22,9,5,1,Finished,5,14,58,0.69,0.026315789,0.1,0.032894737,1
93,22,2,9,1,Finished,5,14,58,0.69,0.016949153,0.1,0.032894737,1
94,22,4,7,1,Finished,5,14,58,0.69,0.011538462,0.137096774,0.032894737,1
95,22,17,6,1,Finished,5,14,58,0.69,0.010869565,0.130612245,0.032894737,1
96,22,3,11,1,Finished,5,14,58,0.69,0.004854369,0.131428571,0.032894737,1
97,22,14,10,1,Finished,5,14,58,0.69,0.011111111,0.130612245,0.032894737,1
98,22,15,8,1,Finished,5,14,58,0.69,0.013986014,0.146226415,0.032894737,1
99,22,18,13,11,Finished,5,14,58,0.69,0.020661157,0.141509434,0.032894737,0
100,22,5,2,11,Finished,5,14,58,0.69,0.017857143,0.155893536,0.032894737,0
101,22,10,15,11,Finished,5,14,58,0.69,0.021505376,0.146226415,0.032894737,0
102,22,22,12,11,Finished,5,14,58,0.69,0.006896552,0.141509434,0.032894737,0
103,22,12,17,11,Finished,5,14,58,0.69,0.107142857,0.137096774,0.032894737,0
104,22,16,19,11,Finished,5,14,58,0.69,0.0234375,0.086614173,0.032894737,0
105,22,20,14,11,Finished,5,14,58,0.69,0.010050251,0.181415929,0.032894737,0
106,22,7,18,22,Constructor,5,14,58,0.69,0.037037037,0.181415929,0.032894737,0
108,22,21,20,4,Track,5,14,58,0.69,0.056074766,0.086614173,0.032894737,0
