,constructorId,constructorRef,Constructor_name,nationality,constructor_url,raceId,points,year,round,circuitId,grand_prix_name,date,race_url
10596,87,cooper,Cooper,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,766,8.0,1958,2,6,Monaco Grand Prix,1958-05-18,http://en.wikipedia.org/wiki/1958_Monaco_Grand_Prix
10593,6,ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari,766,6.0,1958,2,6,Monaco Grand Prix,1958-05-18,http://en.wikipedia.org/wiki/1958_Monaco_Grand_Prix
10594,32,team_lotus,Team Lotus,British,http://en.wikipedia.org/wiki/Team_Lotus,766,0.0,1958,2,6,Monaco Grand Prix,1958-05-18,http://en.wikipedia.org/wiki/1958_Monaco_Grand_Prix
10601,6,ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari,765,6.0,1958,1,25,Argentine Grand Prix,1958-01-19,http://en.wikipedia.org/wiki/1958_Argentine_Grand_Prix
10592,118,vanwall,Vanwall,British,http://en.wikipedia.org/wiki/Vanwall,767,8.0,1958,3,39,Dutch Grand Prix,1958-05-26,http://en.wikipedia.org/wiki/1958_Dutch_Grand_Prix
10591,105,maserati,Maserati,Italian,http://en.wikipedia.org/wiki/Maserati,767,0.0,1958,3,39,Dutch Grand Prix,1958-05-26,http://en.wikipedia.org/wiki/1958_Dutch_Grand_Prix
10590,95,porsche,Porsche,German,http://en.wikipedia.org/wiki/Porsche_in_Formula_One,767,0.0,1958,3,39,Dutch Grand Prix,1958-05-26,http://en.wikipedia.org/wiki/1958_Dutch_Grand_Prix
10589,87,cooper,Cooper,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,767,3.0,1958,3,39,Dutch Grand Prix,1958-05-26,http://en.wikipedia.org/wiki/1958_Dutch_Grand_Prix
10595,66,brm,BRM,British,http://en.wikipedia.org/wiki/BRM,766,2.0,1958,2,6,Monaco Grand Prix,1958-05-18,http://en.wikipedia.org/wiki/1958_Monaco_Grand_Prix
10602,87,cooper,Cooper,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,765,8.0,1958,1,25,Argentine Grand Prix,1958-01-19,http://en.wikipedia.org/wiki/1958_Argentine_Grand_Prix
