year,driverRef,name,clusters
2015,rosberg,Austrian Grand Prix,1
2015,rosberg,Singapore Grand Prix,2
2015,hamilton,Singapore Grand Prix,3
2015,hamilton,Canadian Grand Prix,2
2015,rosberg,Canadian Grand Prix,2
2015,rosberg,Abu Dhabi Grand Prix,4
2016,hamilton,Canadian Grand Prix,5
2016,rosberg,Canadian Grand Prix,4
2015,hamilton,Abu Dhabi Grand Prix,4
2016,rosberg,Singapore Grand Prix,1
2016,rosberg,Abu Dhabi Grand Prix,1
2015,hamilton,Monaco Grand Prix,4
2015,rosberg,Monaco Grand Prix,4
2016,hamilton,Abu Dhabi Grand Prix,1
2015,rosberg,Russian Grand Prix,4
2015,hamilton,Russian Grand Prix,2
2016,hamilton,Singapore Grand Prix,3
2016,rosberg,Austrian Grand Prix,2
2015,hamilton,Austrian Grand Prix,1
2015,kvyat,Abu Dhabi Grand Prix,4
2016,ricciardo,Singapore Grand Prix,2
2015,kvyat,Austrian Grand Prix,2
2015,kvyat,Canadian Grand Prix,2
2016,verstappen,Abu Dhabi Grand Prix,2
2015,kvyat,Monaco Grand Prix,4
2015,ricciardo,Monaco Grand Prix,4
2015,ricciardo,Austrian Grand Prix,3
2016,ricciardo,Abu Dhabi Grand Prix,1
2016,verstappen,Singapore Grand Prix,4
2016,verstappen,Canadian Grand Prix,6
2016,ricciardo,Canadian Grand Prix,4
2016,verstappen,Monaco Grand Prix,6
2016,ricciardo,Austrian Grand Prix,1
2015,ricciardo,Singapore Grand Prix,1
2015,kvyat,Singapore Grand Prix,1
2016,verstappen,Austrian Grand Prix,1
2016,ricciardo,Monaco Grand Prix,1
2015,kvyat,Russian Grand Prix,2
2015,ricciardo,Canadian Grand Prix,2
2015,ricciardo,Russian Grand Prix,4
2015,ricciardo,Abu Dhabi Grand Prix,4
2016,magnussen,Austrian Grand Prix,2
2016,palmer,Canadian Grand Prix,2
2016,palmer,Singapore Grand Prix,2
2016,magnussen,Canadian Grand Prix,3
2016,magnussen,Monaco Grand Prix,6
2016,palmer,Monaco Grand Prix,6
2016,magnussen,Singapore Grand Prix,4
2016,palmer,Austrian Grand Prix,2
2016,palmer,Abu Dhabi Grand Prix,1
2016,magnussen,Abu Dhabi Grand Prix,3
2016,nasr,Austrian Grand Prix,5
2015,ericsson,Austrian Grand Prix,5
2015,nasr,Austrian Grand Prix,4
2015,nasr,Russian Grand Prix,2
2015,nasr,Canadian Grand Prix,2
2015,ericsson,Canadian Grand Prix,2
2015,ericsson,Monaco Grand Prix,5
2015,nasr,Monaco Grand Prix,6
2016,nasr,Monaco Grand Prix,6
2015,ericsson,Abu Dhabi Grand Prix,1
2016,nasr,Abu Dhabi Grand Prix,1
2016,ericsson,Singapore Grand Prix,4
2015,ericsson,Singapore Grand Prix,3
2016,nasr,Canadian Grand Prix,4
2016,ericsson,Austrian Grand Prix,2
2016,ericsson,Canadian Grand Prix,4
2016,ericsson,Monaco Grand Prix,6
2015,nasr,Singapore Grand Prix,2
2016,nasr,Singapore Grand Prix,2
2015,nasr,Abu Dhabi Grand Prix,4
2016,ericsson,Abu Dhabi Grand Prix,4
2015,sainz,Austrian Grand Prix,4
2015,verstappen,Austrian Grand Prix,1
2016,kvyat,Abu Dhabi Grand Prix,3
2016,kvyat,Monaco Grand Prix,6
2015,verstappen,Abu Dhabi Grand Prix,4
2015,sainz,Singapore Grand Prix,3
2015,sainz,Abu Dhabi Grand Prix,4
2015,verstappen,Singapore Grand Prix,3
2016,kvyat,Canadian Grand Prix,6
2016,sainz,Canadian Grand Prix,6
2016,sainz,Monaco Grand Prix,1
2016,kvyat,Austrian Grand Prix,4
2015,verstappen,Monaco Grand Prix,4
2015,sainz,Monaco Grand Prix,6
2015,sainz,Canadian Grand Prix,2
2016,sainz,Austrian Grand Prix,3
2015,verstappen,Canadian Grand Prix,1
2016,sainz,Singapore Grand Prix,2
2016,sainz,Abu Dhabi Grand Prix,2
2015,verstappen,Russian Grand Prix,5
2016,kvyat,Singapore Grand Prix,4
2015,sainz,Russian Grand Prix,4
2016,massa,Abu Dhabi Grand Prix,1
2015,bottas,Russian Grand Prix,2
2015,massa,Monaco Grand Prix,5
2015,bottas,Monaco Grand Prix,1
2016,bottas,Singapore Grand Prix,3
2016,massa,Austrian Grand Prix,1
2016,bottas,Austrian Grand Prix,2
2016,bottas,Abu Dhabi Grand Prix,3
2015,massa,Russian Grand Prix,3
2015,bottas,Canadian Grand Prix,2
2015,bottas,Abu Dhabi Grand Prix,3
2015,massa,Abu Dhabi Grand Prix,4
2015,bottas,Singapore Grand Prix,1
2015,massa,Singapore Grand Prix,3
2016,massa,Monaco Grand Prix,1
2016,bottas,Monaco Grand Prix,5
2016,massa,Canadian Grand Prix,2
2016,bottas,Canadian Grand Prix,5
2016,massa,Singapore Grand Prix,4
2015,bottas,Austrian Grand Prix,1
2015,massa,Austrian Grand Prix,1
2015,massa,Canadian Grand Prix,1
2017,raikkonen,Chinese Grand Prix,2
2017,vettel,Chinese Grand Prix,4
2017,raikkonen,Australian Grand Prix,3
2017,vettel,Australian Grand Prix,3
2017,raikkonen,Italian Grand Prix,3
2017,vettel,Italian Grand Prix,3
2017,vettel,United States Grand Prix,3
2017,raikkonen,United States Grand Prix,4
2017,vettel,Russian Grand Prix,3
2017,raikkonen,Russian Grand Prix,1
2017,vettel,Belgian Grand Prix,1
2017,raikkonen,Hungarian Grand Prix,3
2017,vettel,Hungarian Grand Prix,1
2017,vettel,Mexican Grand Prix,5
2017,raikkonen,Mexican Grand Prix,3
2017,vettel,Azerbaijan Grand Prix,1
2017,raikkonen,Azerbaijan Grand Prix,1
2017,raikkonen,Belgian Grand Prix,1
2017,vettel,Bahrain Grand Prix,3
2017,raikkonen,Bahrain Grand Prix,2
2017,hulkenberg,Australian Grand Prix,1
2017,perez,Australian Grand Prix,1
2017,perez,Azerbaijan Grand Prix,1
2017,hulkenberg,Russian Grand Prix,3
2017,perez,Russian Grand Prix,1
2017,hulkenberg,Azerbaijan Grand Prix,2
2017,perez,Chinese Grand Prix,3
2017,perez,Mexican Grand Prix,4
2017,perez,United States Grand Prix,2
2017,hulkenberg,United States Grand Prix,4
2017,hulkenberg,Mexican Grand Prix,5
2017,perez,Bahrain Grand Prix,4
2017,perez,Hungarian Grand Prix,4
2017,hulkenberg,Bahrain Grand Prix,1
2017,hulkenberg,Hungarian Grand Prix,1
2017,hulkenberg,Italian Grand Prix,3
2017,perez,Italian Grand Prix,3
2017,hulkenberg,Chinese Grand Prix,3
2017,perez,Belgian Grand Prix,2
2017,hulkenberg,Belgian Grand Prix,1
2017,gutierrez,Bahrain Grand Prix,3
2017,grosjean,Bahrain Grand Prix,2
2017,grosjean,Italian Grand Prix,2
2017,gutierrez,Italian Grand Prix,4
2017,grosjean,Mexican Grand Prix,3
2017,grosjean,Hungarian Grand Prix,1
2017,gutierrez,Belgian Grand Prix,1
2017,grosjean,Russian Grand Prix,1
2017,gutierrez,Hungarian Grand Prix,1
2017,grosjean,Belgian Grand Prix,1
2017,gutierrez,Mexican Grand Prix,3
2017,grosjean,Australian Grand Prix,4
2017,gutierrez,Australian Grand Prix,3
2017,grosjean,Azerbaijan Grand Prix,3
2017,gutierrez,Russian Grand Prix,4
2017,gutierrez,Azerbaijan Grand Prix,5
2017,gutierrez,Chinese Grand Prix,4
2017,grosjean,Chinese Grand Prix,4
2017,grosjean,United States Grand Prix,3
2017,gutierrez,United States Grand Prix,4
2017,ocon,Belgian Grand Prix,2
2017,wehrlein,Italian Grand Prix,2
2017,wehrlein,Russian Grand Prix,1
2017,haryanto,Azerbaijan Grand Prix,1
2017,wehrlein,Azerbaijan Grand Prix,2
2017,wehrlein,Hungarian Grand Prix,1
2017,ocon,Italian Grand Prix,4
2017,ocon,Mexican Grand Prix,4
2017,haryanto,Hungarian Grand Prix,2
2017,haryanto,Russian Grand Prix,3
2017,wehrlein,Chinese Grand Prix,4
2017,wehrlein,Bahrain Grand Prix,4
2017,ocon,United States Grand Prix,4
2017,haryanto,Australian Grand Prix,3
2017,wehrlein,Australian Grand Prix,2
2017,haryanto,Chinese Grand Prix,4
2017,haryanto,Bahrain Grand Prix,1
2017,wehrlein,United States Grand Prix,2
2017,alonso,Azerbaijan Grand Prix,5
2017,button,Australian Grand Prix,2
2017,button,Belgian Grand Prix,2
2017,alonso,Belgian Grand Prix,2
2017,alonso,Australian Grand Prix,3
2017,button,Russian Grand Prix,1
2017,alonso,Russian Grand Prix,1
2017,button,Bahrain Grand Prix,3
2017,vandoorne,Bahrain Grand Prix,4
2017,button,Azerbaijan Grand Prix,4
2017,alonso,Chinese Grand Prix,1
2017,button,Chinese Grand Prix,1
2017,alonso,Mexican Grand Prix,3
2017,button,Mexican Grand Prix,4
2017,alonso,United States Grand Prix,2
2017,button,United States Grand Prix,2
2017,alonso,Hungarian Grand Prix,1
2017,alonso,Italian Grand Prix,3
2017,button,Italian Grand Prix,4
2017,button,Hungarian Grand Prix,4
2017,rosberg,United States Grand Prix,2
2017,rosberg,Chinese Grand Prix,2
2017,hamilton,Australian Grand Prix,1
2017,hamilton,United States Grand Prix,3
2017,rosberg,Azerbaijan Grand Prix,1
2017,rosberg,Russian Grand Prix,1
2017,hamilton,Russian Grand Prix,1
2017,hamilton,Azerbaijan Grand Prix,1
2017,rosberg,Italian Grand Prix,1
2017,rosberg,Australian Grand Prix,1
2017,hamilton,Chinese Grand Prix,4
2017,hamilton,Belgian Grand Prix,1
2017,hamilton,Italian Grand Prix,1
2017,rosberg,Mexican Grand Prix,4
2017,hamilton,Mexican Grand Prix,4
2017,rosberg,Hungarian Grand Prix,1
2017,rosberg,Belgian Grand Prix,2
2017,hamilton,Hungarian Grand Prix,1
2017,hamilton,Bahrain Grand Prix,2
2017,rosberg,Bahrain Grand Prix,2
2017,ricciardo,Azerbaijan Grand Prix,3
2017,verstappen,Mexican Grand Prix,4
2017,ricciardo,Mexican Grand Prix,3
2017,verstappen,Azerbaijan Grand Prix,3
2017,ricciardo,Chinese Grand Prix,3
2017,kvyat,Chinese Grand Prix,3
2017,verstappen,Italian Grand Prix,3
2017,verstappen,Belgian Grand Prix,2
2017,ricciardo,Italian Grand Prix,4
2017,ricciardo,Belgian Grand Prix,2
2017,verstappen,Hungarian Grand Prix,1
2017,ricciardo,Hungarian Grand Prix,1
2017,ricciardo,Australian Grand Prix,3
2017,ricciardo,United States Grand Prix,3
2017,verstappen,United States Grand Prix,4
2017,ricciardo,Bahrain Grand Prix,4
2017,kvyat,Russian Grand Prix,2
2017,ricciardo,Russian Grand Prix,2
2017,kvyat,Bahrain Grand Prix,4
2017,palmer,Chinese Grand Prix,4
2017,magnussen,Chinese Grand Prix,3
2017,magnussen,Belgian Grand Prix,2
2017,palmer,Belgian Grand Prix,1
2017,magnussen,Hungarian Grand Prix,4
2017,palmer,Hungarian Grand Prix,4
2017,palmer,Azerbaijan Grand Prix,5
2017,magnussen,Azerbaijan Grand Prix,1
2017,magnussen,Russian Grand Prix,1
2017,palmer,Russian Grand Prix,1
2017,palmer,Italian Grand Prix,2
2017,magnussen,Italian Grand Prix,4
2017,palmer,United States Grand Prix,3
2017,magnussen,Bahrain Grand Prix,4
2017,palmer,Bahrain Grand Prix,3
2017,magnussen,United States Grand Prix,3
2017,magnussen,Australian Grand Prix,1
2017,palmer,Australian Grand Prix,1
2017,palmer,Mexican Grand Prix,5
2017,magnussen,Mexican Grand Prix,4
2017,nasr,Azerbaijan Grand Prix,4
2017,ericsson,Russian Grand Prix,3
2017,ericsson,Azerbaijan Grand Prix,2
2017,ericsson,Italian Grand Prix,1
2017,ericsson,United States Grand Prix,1
2017,nasr,United States Grand Prix,4
2017,nasr,Italian Grand Prix,2
2017,nasr,Russian Grand Prix,1
2017,ericsson,Bahrain Grand Prix,1
2017,nasr,Bahrain Grand Prix,1
2017,nasr,Chinese Grand Prix,1
2017,ericsson,Belgian Grand Prix,2
2017,nasr,Australian Grand Prix,1
2017,ericsson,Australian Grand Prix,1
2017,ericsson,Chinese Grand Prix,1
2017,ericsson,Mexican Grand Prix,5
2017,ericsson,Hungarian Grand Prix,3
2017,nasr,Hungarian Grand Prix,1
2017,nasr,Mexican Grand Prix,2
2017,nasr,Belgian Grand Prix,1
2017,verstappen,Australian Grand Prix,2
2017,sainz,Australian Grand Prix,2
2017,kvyat,Hungarian Grand Prix,3
2017,kvyat,Mexican Grand Prix,1
2017,sainz,Belgian Grand Prix,2
2017,sainz,Hungarian Grand Prix,1
2017,kvyat,Belgian Grand Prix,2
2017,verstappen,Russian Grand Prix,3
2017,sainz,Russian Grand Prix,1
2017,kvyat,Azerbaijan Grand Prix,5
2017,sainz,Azerbaijan Grand Prix,5
2017,verstappen,Bahrain Grand Prix,1
2017,sainz,Bahrain Grand Prix,3
2017,sainz,Mexican Grand Prix,5
2017,sainz,United States Grand Prix,4
2017,sainz,Italian Grand Prix,2
2017,sainz,Chinese Grand Prix,3
2017,verstappen,Chinese Grand Prix,2
2017,kvyat,United States Grand Prix,1
2017,kvyat,Italian Grand Prix,4
2017,bottas,Azerbaijan Grand Prix,1
2017,massa,Russian Grand Prix,1
2017,bottas,Russian Grand Prix,1
2017,massa,Azerbaijan Grand Prix,4
2017,bottas,Chinese Grand Prix,3
2017,massa,Chinese Grand Prix,2
2017,massa,Australian Grand Prix,1
2017,massa,Hungarian Grand Prix,2
2017,bottas,Mexican Grand Prix,5
2017,massa,Bahrain Grand Prix,1
2017,bottas,Hungarian Grand Prix,1
2017,bottas,United States Grand Prix,3
2017,massa,Belgian Grand Prix,1
2017,bottas,Australian Grand Prix,1
2017,bottas,Belgian Grand Prix,1
2017,massa,United States Grand Prix,3
2017,massa,Italian Grand Prix,4
2017,massa,Mexican Grand Prix,5
2017,bottas,Italian Grand Prix,3
2017,bottas,Bahrain Grand Prix,1
2017,raikkonen,British Grand Prix,2
2017,vettel,British Grand Prix,2
2017,raikkonen,Malaysian Grand Prix,4
2017,vettel,Japanese Grand Prix,4
2017,raikkonen,Brazilian Grand Prix,1
2017,vettel,Brazilian Grand Prix,1
2017,raikkonen,Japanese Grand Prix,1
2017,vettel,Spanish Grand Prix,3
2017,raikkonen,Spanish Grand Prix,1
2017,perez,Spanish Grand Prix,1
2017,hulkenberg,Spanish Grand Prix,2
2017,perez,Japanese Grand Prix,4
2017,hulkenberg,Malaysian Grand Prix,1
2017,hulkenberg,Brazilian Grand Prix,1
2017,perez,Malaysian Grand Prix,1
2017,perez,Brazilian Grand Prix,1
2017,hulkenberg,Japanese Grand Prix,4
2017,perez,British Grand Prix,2
2017,hulkenberg,British Grand Prix,2
2017,gutierrez,Brazilian Grand Prix,1
2017,gutierrez,Spanish Grand Prix,2
2017,grosjean,Spanish Grand Prix,2
2017,gutierrez,Japanese Grand Prix,1
2017,gutierrez,Malaysian Grand Prix,2
2017,gutierrez,British Grand Prix,2
2017,grosjean,British Grand Prix,1
2017,grosjean,Malaysian Grand Prix,2
2017,grosjean,Japanese Grand Prix,1
2017,wehrlein,Brazilian Grand Prix,1
2017,ocon,Brazilian Grand Prix,1
2017,wehrlein,Spanish Grand Prix,1
2017,ocon,Malaysian Grand Prix,4
2017,haryanto,British Grand Prix,1
2017,wehrlein,Malaysian Grand Prix,4
2017,haryanto,Spanish Grand Prix,4
2017,wehrlein,British Grand Prix,1
2017,wehrlein,Japanese Grand Prix,1
2017,ocon,Japanese Grand Prix,1
2017,button,Spanish Grand Prix,1
2017,button,British Grand Prix,2
2017,alonso,Brazilian Grand Prix,1
2017,button,Brazilian Grand Prix,1
2017,alonso,British Grand Prix,2
2017,alonso,Spanish Grand Prix,4
2017,button,Japanese Grand Prix,2
2017,alonso,Japanese Grand Prix,1
2017,button,Malaysian Grand Prix,4
2017,alonso,Malaysian Grand Prix,4
2017,hamilton,Japanese Grand Prix,1
2017,rosberg,Brazilian Grand Prix,1
2017,hamilton,Brazilian Grand Prix,1
2017,hamilton,Spanish Grand Prix,2
2017,rosberg,Spanish Grand Prix,2
2017,rosberg,Japanese Grand Prix,1
2017,hamilton,Malaysian Grand Prix,2
2017,rosberg,Malaysian Grand Prix,4
2017,rosberg,British Grand Prix,2
2017,hamilton,British Grand Prix,2
2017,ricciardo,Brazilian Grand Prix,1
2017,verstappen,Brazilian Grand Prix,1
2017,verstappen,Japanese Grand Prix,1
2017,ricciardo,Japanese Grand Prix,1
2017,ricciardo,Malaysian Grand Prix,4
2017,verstappen,Malaysian Grand Prix,2
2017,ricciardo,British Grand Prix,2
2017,verstappen,British Grand Prix,2
2017,verstappen,Spanish Grand Prix,1
2017,ricciardo,Spanish Grand Prix,3
2017,palmer,Spanish Grand Prix,4
2017,palmer,Malaysian Grand Prix,2
2017,magnussen,Brazilian Grand Prix,1
2017,palmer,British Grand Prix,1
2017,magnussen,Japanese Grand Prix,2
2017,magnussen,Malaysian Grand Prix,2
2017,palmer,Brazilian Grand Prix,1
2017,palmer,Japanese Grand Prix,3
2017,magnussen,British Grand Prix,2
2017,magnussen,Spanish Grand Prix,4
2017,nasr,Malaysian Grand Prix,3
2017,ericsson,Japanese Grand Prix,3
2017,nasr,British Grand Prix,2
2017,ericsson,Malaysian Grand Prix,2
2017,ericsson,Brazilian Grand Prix,1
2017,nasr,Brazilian Grand Prix,1
2017,nasr,Spanish Grand Prix,1
2017,ericsson,British Grand Prix,1
2017,ericsson,Spanish Grand Prix,2
2017,nasr,Japanese Grand Prix,2
2017,sainz,British Grand Prix,2
2017,sainz,Malaysian Grand Prix,4
2017,kvyat,Malaysian Grand Prix,4
2017,kvyat,British Grand Prix,2
2017,sainz,Japanese Grand Prix,4
2017,sainz,Spanish Grand Prix,1
2017,kvyat,Brazilian Grand Prix,1
2017,kvyat,Spanish Grand Prix,1
2017,sainz,Brazilian Grand Prix,1
2017,kvyat,Japanese Grand Prix,1
2017,massa,Spanish Grand Prix,3
2017,massa,Brazilian Grand Prix,1
2017,bottas,Brazilian Grand Prix,1
2017,massa,Japanese Grand Prix,3
2017,massa,British Grand Prix,2
2017,bottas,British Grand Prix,2
2017,bottas,Spanish Grand Prix,1
2017,massa,Malaysian Grand Prix,1
2017,bottas,Japanese Grand Prix,3
2017,bottas,Malaysian Grand Prix,3
2017,vettel,Monaco Grand Prix,2
2017,raikkonen,Monaco Grand Prix,6
2017,raikkonen,Austrian Grand Prix,1
2017,raikkonen,Canadian Grand Prix,1
2017,vettel,Canadian Grand Prix,1
2017,vettel,Singapore Grand Prix,3
2017,raikkonen,Abu Dhabi Grand Prix,1
2017,vettel,Abu Dhabi Grand Prix,2
2017,raikkonen,Singapore Grand Prix,2
2017,vettel,Austrian Grand Prix,4
2017,perez,Singapore Grand Prix,1
2017,hulkenberg,Singapore Grand Prix,3
2017,perez,Abu Dhabi Grand Prix,1
2017,hulkenberg,Monaco Grand Prix,2
2017,perez,Monaco Grand Prix,2
2017,hulkenberg,Austrian Grand Prix,3
2017,hulkenberg,Abu Dhabi Grand Prix,1
2017,perez,Austrian Grand Prix,3
2017,hulkenberg,Canadian Grand Prix,4
2017,perez,Canadian Grand Prix,1
2017,gutierrez,Singapore Grand Prix,3
2017,grosjean,Abu Dhabi Grand Prix,4
2017,gutierrez,Abu Dhabi Grand Prix,1
2017,gutierrez,Monaco Grand Prix,3
2017,grosjean,Monaco Grand Prix,3
2017,grosjean,Austrian Grand Prix,1
2017,grosjean,Canadian Grand Prix,6
2017,gutierrez,Austrian Grand Prix,3
2017,gutierrez,Canadian Grand Prix,6
2017,wehrlein,Canadian Grand Prix,4
2017,wehrlein,Monaco Grand Prix,4
2017,haryanto,Monaco Grand Prix,5
2017,wehrlein,Austrian Grand Prix,3
2017,haryanto,Austrian Grand Prix,5
2017,wehrlein,Singapore Grand Prix,4
2017,wehrlein,Abu Dhabi Grand Prix,1
2017,ocon,Abu Dhabi Grand Prix,4
2017,ocon,Singapore Grand Prix,3
2017,haryanto,Canadian Grand Prix,4
2017,button,Austrian Grand Prix,3
2017,button,Singapore Grand Prix,4
2017,alonso,Austrian Grand Prix,3
2017,button,Abu Dhabi Grand Prix,3
2017,alonso,Singapore Grand Prix,2
2017,alonso,Abu Dhabi Grand Prix,2
2017,alonso,Canadian Grand Prix,5
2017,button,Canadian Grand Prix,2
2017,alonso,Monaco Grand Prix,1
2017,button,Monaco Grand Prix,1
2017,rosberg,Monaco Grand Prix,3
2017,hamilton,Monaco Grand Prix,4
2017,hamilton,Austrian Grand Prix,2
2017,hamilton,Canadian Grand Prix,5
2017,rosberg,Canadian Grand Prix,4
2017,rosberg,Singapore Grand Prix,1
2017,rosberg,Abu Dhabi Grand Prix,1
2017,hamilton,Abu Dhabi Grand Prix,1
2017,hamilton,Singapore Grand Prix,3
2017,rosberg,Austrian Grand Prix,2
2017,ricciardo,Singapore Grand Prix,2
2017,verstappen,Abu Dhabi Grand Prix,2
2017,ricciardo,Abu Dhabi Grand Prix,1
2017,verstappen,Singapore Grand Prix,4
2017,verstappen,Canadian Grand Prix,6
2017,ricciardo,Canadian Grand Prix,4
2017,verstappen,Monaco Grand Prix,6
2017,ricciardo,Austrian Grand Prix,1
2017,verstappen,Austrian Grand Prix,1
2017,ricciardo,Monaco Grand Prix,1
2017,magnussen,Austrian Grand Prix,2
2017,palmer,Canadian Grand Prix,2
2017,palmer,Singapore Grand Prix,2
2017,magnussen,Canadian Grand Prix,3
2017,magnussen,Monaco Grand Prix,6
2017,palmer,Monaco Grand Prix,6
2017,magnussen,Singapore Grand Prix,4
2017,palmer,Austrian Grand Prix,2
2017,palmer,Abu Dhabi Grand Prix,1
2017,magnussen,Abu Dhabi Grand Prix,3
2017,nasr,Austrian Grand Prix,5
2017,nasr,Monaco Grand Prix,6
2017,nasr,Abu Dhabi Grand Prix,1
2017,ericsson,Singapore Grand Prix,4
2017,nasr,Canadian Grand Prix,4
2017,ericsson,Austrian Grand Prix,2
2017,ericsson,Canadian Grand Prix,4
2017,ericsson,Monaco Grand Prix,6
2017,nasr,Singapore Grand Prix,2
2017,ericsson,Abu Dhabi Grand Prix,4
2017,kvyat,Abu Dhabi Grand Prix,3
2017,kvyat,Monaco Grand Prix,6
2017,kvyat,Canadian Grand Prix,6
2017,sainz,Canadian Grand Prix,6
2017,sainz,Monaco Grand Prix,1
2017,kvyat,Austrian Grand Prix,4
2017,sainz,Austrian Grand Prix,3
2017,sainz,Singapore Grand Prix,2
2017,sainz,Abu Dhabi Grand Prix,2
2017,kvyat,Singapore Grand Prix,4
2017,massa,Abu Dhabi Grand Prix,1
2017,bottas,Singapore Grand Prix,3
2017,massa,Austrian Grand Prix,1
2017,bottas,Austrian Grand Prix,2
2017,bottas,Abu Dhabi Grand Prix,3
2017,massa,Monaco Grand Prix,1
2017,bottas,Monaco Grand Prix,5
2017,massa,Canadian Grand Prix,2
2017,bottas,Canadian Grand Prix,5
2017,massa,Singapore Grand Prix,4
