year,driverRef,name,clusters
2016,button,Russian Grand Prix,1
2016,alonso,Russian Grand Prix,1
2016,button,Bahrain Grand Prix,3
2016,vandoorne,Bahrain Grand Prix,4
2016,button,Azerbaijan Grand Prix,4
2015,alonso,Belgian Grand Prix,3
2015,button,Belgian Grand Prix,3
2015,alonso,Bahrain Grand Prix,2
2015,button,Australian Grand Prix,1
2016,alonso,Chinese Grand Prix,1
2016,button,Chinese Grand Prix,1
2016,alonso,Mexican Grand Prix,3
2016,button,Mexican Grand Prix,4
2016,alonso,United States Grand Prix,2
2016,button,United States Grand Prix,2
2015,button,Chinese Grand Prix,4
2015,alonso,Chinese Grand Prix,1
2015,alonso,Italian Grand Prix,2
2015,button,Italian Grand Prix,1
2016,alonso,Hungarian Grand Prix,1
2016,alonso,Italian Grand Prix,3
2016,button,Italian Grand Prix,4
2016,button,Hungarian Grand Prix,4
2015,alonso,United States Grand Prix,2
2015,button,United States Grand Prix,1
2015,alonso,Mexican Grand Prix,1
2015,button,Mexican Grand Prix,1
2015,button,Hungarian Grand Prix,4
2015,alonso,Hungarian Grand Prix,3
2016,rosberg,United States Grand Prix,2
2015,rosberg,Chinese Grand Prix,4
2015,hamilton,Chinese Grand Prix,4
2015,rosberg,Australian Grand Prix,1
2016,rosberg,Chinese Grand Prix,2
2016,hamilton,Australian Grand Prix,1
2016,hamilton,United States Grand Prix,3
2015,rosberg,Bahrain Grand Prix,1
2015,hamilton,Bahrain Grand Prix,1
2016,rosberg,Azerbaijan Grand Prix,1
2016,rosberg,Russian Grand Prix,1
2015,hamilton,Australian Grand Prix,1
2016,hamilton,Russian Grand Prix,1
2016,hamilton,Azerbaijan Grand Prix,1
2016,rosberg,Italian Grand Prix,1
2016,rosberg,Australian Grand Prix,1
2015,rosberg,United States Grand Prix,1
2016,hamilton,Chinese Grand Prix,4
2015,hamilton,United States Grand Prix,1
2016,hamilton,Belgian Grand Prix,1
2015,hamilton,Brazilian Grand Prix,1
2016,hamilton,Italian Grand Prix,1
2015,hamilton,Hungarian Grand Prix,5
2016,rosberg,Mexican Grand Prix,4
2015,rosberg,Hungarian Grand Prix,4
2016,hamilton,Mexican Grand Prix,4
2015,hamilton,Mexican Grand Prix,3
2015,rosberg,Mexican Grand Prix,3
2015,hamilton,Italian Grand Prix,1
2015,rosberg,Brazilian Grand Prix,1
2015,rosberg,Italian Grand Prix,1
2016,rosberg,Hungarian Grand Prix,1
2016,rosberg,Belgian Grand Prix,2
2016,hamilton,Hungarian Grand Prix,1
2015,rosberg,Belgian Grand Prix,2
2016,hamilton,Bahrain Grand Prix,2
2016,rosberg,Bahrain Grand Prix,2
2015,hamilton,Belgian Grand Prix,2
2016,ricciardo,Azerbaijan Grand Prix,3
2016,verstappen,Mexican Grand Prix,4
2016,ricciardo,Mexican Grand Prix,3
2015,ricciardo,Hungarian Grand Prix,1
2016,verstappen,Azerbaijan Grand Prix,3
2015,ricciardo,Mexican Grand Prix,2
2015,kvyat,Mexican Grand Prix,2
2016,ricciardo,Chinese Grand Prix,3
2016,kvyat,Chinese Grand Prix,3
2016,verstappen,Italian Grand Prix,3
2015,kvyat,United States Grand Prix,1
2015,ricciardo,United States Grand Prix,1
2016,verstappen,Belgian Grand Prix,2
2015,kvyat,Bahrain Grand Prix,1
2016,ricciardo,Italian Grand Prix,4
2016,ricciardo,Belgian Grand Prix,2
2016,verstappen,Hungarian Grand Prix,1
2016,ricciardo,Hungarian Grand Prix,1
2016,ricciardo,Australian Grand Prix,3
2015,kvyat,Hungarian Grand Prix,1
2016,ricciardo,United States Grand Prix,3
2015,ricciardo,Italian Grand Prix,2
2015,kvyat,Italian Grand Prix,2
2015,ricciardo,Bahrain Grand Prix,1
2016,verstappen,United States Grand Prix,4
2015,ricciardo,Belgian Grand Prix,3
2016,ricciardo,Bahrain Grand Prix,4
2016,kvyat,Russian Grand Prix,2
2016,ricciardo,Russian Grand Prix,2
2015,ricciardo,Brazilian Grand Prix,3
2015,kvyat,Brazilian Grand Prix,2
2015,kvyat,Chinese Grand Prix,2
2016,kvyat,Bahrain Grand Prix,4
2015,ricciardo,Australian Grand Prix,1
2015,ricciardo,Chinese Grand Prix,4
2015,kvyat,Belgian Grand Prix,2
2016,palmer,Chinese Grand Prix,4
2016,magnussen,Chinese Grand Prix,3
2016,magnussen,Belgian Grand Prix,2
2016,palmer,Belgian Grand Prix,1
2016,magnussen,Hungarian Grand Prix,4
2016,palmer,Hungarian Grand Prix,4
2016,palmer,Azerbaijan Grand Prix,5
2016,magnussen,Azerbaijan Grand Prix,1
2016,magnussen,Russian Grand Prix,1
2016,palmer,Russian Grand Prix,1
2016,palmer,Italian Grand Prix,2
2016,magnussen,Italian Grand Prix,4
2016,palmer,United States Grand Prix,3
2016,magnussen,Bahrain Grand Prix,4
2016,palmer,Bahrain Grand Prix,3
2016,magnussen,United States Grand Prix,3
2016,magnussen,Australian Grand Prix,1
2016,palmer,Australian Grand Prix,1
2016,palmer,Mexican Grand Prix,5
2016,magnussen,Mexican Grand Prix,4
2016,nasr,Azerbaijan Grand Prix,4
2016,ericsson,Russian Grand Prix,3
2016,ericsson,Azerbaijan Grand Prix,2
2016,ericsson,Italian Grand Prix,1
2016,ericsson,United States Grand Prix,1
2016,nasr,United States Grand Prix,4
2015,nasr,Chinese Grand Prix,3
2016,nasr,Italian Grand Prix,2
2016,nasr,Russian Grand Prix,1
2015,nasr,Belgian Grand Prix,3
2016,ericsson,Bahrain Grand Prix,1
2016,nasr,Bahrain Grand Prix,1
2015,ericsson,Belgian Grand Prix,2
2015,nasr,Italian Grand Prix,3
2015,ericsson,Italian Grand Prix,1
2016,nasr,Chinese Grand Prix,1
2016,ericsson,Belgian Grand Prix,2
2015,ericsson,Bahrain Grand Prix,3
2015,nasr,Bahrain Grand Prix,3
2015,ericsson,Chinese Grand Prix,4
2015,ericsson,Mexican Grand Prix,4
2015,nasr,Mexican Grand Prix,4
2015,nasr,Brazilian Grand Prix,2
2015,ericsson,Hungarian Grand Prix,3
2015,ericsson,Brazilian Grand Prix,3
2015,nasr,Hungarian Grand Prix,3
2016,nasr,Australian Grand Prix,1
2016,ericsson,Australian Grand Prix,1
2015,nasr,United States Grand Prix,2
2015,ericsson,United States Grand Prix,2
2016,ericsson,Chinese Grand Prix,1
2016,ericsson,Mexican Grand Prix,5
2015,ericsson,Australian Grand Prix,2
2016,ericsson,Hungarian Grand Prix,3
2016,nasr,Hungarian Grand Prix,1
2016,nasr,Mexican Grand Prix,2
2015,nasr,Australian Grand Prix,1
2016,nasr,Belgian Grand Prix,1
2015,sainz,Mexican Grand Prix,4
2015,verstappen,Mexican Grand Prix,2
2016,verstappen,Australian Grand Prix,2
2015,sainz,United States Grand Prix,2
2016,sainz,Australian Grand Prix,2
2015,verstappen,United States Grand Prix,1
2016,kvyat,Hungarian Grand Prix,3
2015,sainz,Hungarian Grand Prix,5
2016,kvyat,Mexican Grand Prix,1
