year,name,driverRef,Medium,Soft,Super Soft,Ultra soft,Hard
2017,Belgian Grand Prix,perez,0,3,4,6,0
2017,Belgian Grand Prix,ocon,0,3,4,6,0
2017,Belgian Grand Prix,massa,0,1,5,7,0
2017,Belgian Grand Prix,stroll,0,1,5,7,0
2017,Belgian Grand Prix,alonso,0,2,2,9,0
2017,Belgian Grand Prix,vandoorne,0,1,3,9,0
2017,Belgian Grand Prix,sainz,0,2,3,8,0
2017,Belgian Grand Prix,kvyat,0,2,3,8,0
2017,Belgian Grand Prix,grosjean,0,3,4,6,0
2017,Belgian Grand Prix,magnussen,0,4,3,6,0
2017,Belgian Grand Prix,hulkenberg,0,2,3,8,0
2017,Belgian Grand Prix,palmer,0,2,3,8,0
2017,Belgian Grand Prix,wehrlein,0,3,3,7,0
2017,Belgian Grand Prix,ericsson,0,2,4,7,0
2017,Hungarian Grand Prix,hamilton,1,3,9,0,0
2017,Hungarian Grand Prix,bottas,1,3,9,0,0
2017,Hungarian Grand Prix,ricciardo,1,3,9,0,0
2017,Hungarian Grand Prix,verstappen,1,2,10,0,0
2017,Hungarian Grand Prix,vettel,1,3,9,0,0
2017,Hungarian Grand Prix,raikkonen,1,3,9,0,0
2017,Hungarian Grand Prix,perez,1,2,10,0,0
2017,Hungarian Grand Prix,ocon,1,2,10,0,0
2017,Hungarian Grand Prix,di resta,1,2,10,0,0
2017,Hungarian Grand Prix,stroll,1,2,10,0,0
2017,Hungarian Grand Prix,alonso,1,2,10,0,0
2017,Hungarian Grand Prix,vandoorne,1,2,10,0,0
2017,Hungarian Grand Prix,sainz,1,3,9,0,0
2017,Hungarian Grand Prix,kvyat,1,3,9,0,0
2017,Hungarian Grand Prix,grosjean,1,4,8,0,0
2017,Hungarian Grand Prix,magnussen,1,4,8,0,0
2017,Hungarian Grand Prix,hulkenberg,1,2,10,0,0
2017,Hungarian Grand Prix,palmer,1,2,10,0,0
2017,Hungarian Grand Prix,wehrlein,1,3,9,0,0
2017,Hungarian Grand Prix,ericsson,1,3,9,0,0
2017,British Grand Prix,hamilton,1,6,6,0,0
2017,British Grand Prix,bottas,2,5,6,0,0
2017,British Grand Prix,ricciardo,1,4,8,0,0
2017,British Grand Prix,verstappen,1,4,8,0,0
2017,British Grand Prix,vettel,1,3,9,0,0
2017,British Grand Prix,raikkonen,1,3,9,0,0
2017,British Grand Prix,perez,2,4,7,0,0
2017,British Grand Prix,ocon,2,4,7,0,0
2017,British Grand Prix,massa,1,5,7,0,0
2017,British Grand Prix,stroll,1,5,7,0,0
2017,British Grand Prix,alonso,1,2,10,0,0
2017,British Grand Prix,vandoorne,1,2,10,0,0
2017,British Grand Prix,sainz,1,3,9,0,0
2017,British Grand Prix,kvyat,1,2,10,0,0
2017,British Grand Prix,grosjean,2,4,7,0,0
2017,British Grand Prix,magnussen,1,5,7,0,0
2017,British Grand Prix,hulkenberg,1,4,8,0,0
2017,British Grand Prix,palmer,1,4,8,0,0
2017,British Grand Prix,wehrlein,1,5,7,0,0
2017,British Grand Prix,ericsson,1,5,7,0,0
2017,Austrian Grand Prix,hamilton,0,2,3,8,0
2017,Austrian Grand Prix,bottas,0,1,4,8,0
