driverId,constructorId,year,circuitId,turns,lap_length,race_laps,race_distance,max_speed,drs_zone,full_throttle_percentage,longest_flatout_section,downforce_level,gear_changes_per_lap,prev_year_1_lap,prev_year_2_lap,prev_year_3_lap,prev_year_4_lap,fastestLapTime
8,6,2008,2,15,5.543,56,310.408,329,2,0.45,1029,3,40,101500,102800,103600,100100,100300
5,1,2008,2,15,5.543,56,310.408,329,2,0.45,1029,3,40,101500,102800,103600,100100,100300
1,1,2008,2,15,5.543,56,310.408,329,2,0.45,1029,3,40,101500,102800,103600,100100,100300
15,7,2008,2,15,5.543,56,310.408,329,2,0.45,1029,3,40,101500,102800,103600,100100,100300
9,2,2008,2,15,5.543,56,310.408,329,2,0.45,1029,3,40,101500,102800,103600,100100,100300
2,2,2008,2,15,5.543,56,310.408,329,2,0.45,1029,3,40,101500,102800,103600,100100,100300
17,9,2008,2,15,5.543,56,310.408,329,2,0.45,1029,3,40,101500,102800,103600,100100,100300
4,4,2008,2,15,5.543,56,310.408,329,2,0.45,1029,3,40,101500,102800,103600,100100,100300
10,7,2008,2,15,5.543,56,310.408,329,2,0.45,1029,3,40,101500,102800,103600,100100,100300
18,11,2008,2,15,5.543,56,310.408,329,2,0.45,1029,3,40,101500,102800,103600,100100,100300
14,9,2008,2,15,5.543,56,310.408,329,2,0.45,1029,3,40,101500,102800,103600,100100,100300
12,4,2008,2,15,5.543,56,310.408,329,2,0.45,1029,3,40,101500,102800,103600,100100,100300
22,11,2008,2,15,5.543,56,310.408,329,2,0.45,1029,3,40,101500,102800,103600,100100,100300
20,5,2008,2,15,5.543,56,310.408,329,2,0.45,1029,3,40,101500,102800,103600,100100,100300
3,3,2008,2,15,5.543,56,310.408,329,2,0.45,1029,3,40,101500,102800,103600,100100,100300
21,10,2008,2,15,5.543,56,310.408,329,2,0.45,1029,3,40,101500,102800,103600,100100,100300
6,3,2008,2,15,5.543,56,310.408,329,2,0.45,1029,3,40,101500,102800,103600,100100,100300
7,5,2008,2,15,5.543,56,310.408,329,2,0.45,1029,3,40,101500,102800,103600,100100,100300
11,8,2008,2,15,5.543,56,310.408,329,2,0.45,1029,3,40,101500,102800,103600,100100,100300
16,10,2008,2,15,5.543,56,310.408,329,2,0.45,1029,3,40,101500,102800,103600,100100,100300
19,8,2008,2,15,5.543,56,310.408,329,2,0.45,1029,3,40,101500,102800,103600,100100,100300
9,2,2008,3,15,5.412,57,308.238,329.6,2,0.72,1205,2,56,97200,98300,97500,95100,96100
13,6,2008,3,15,5.412,57,308.238,329.6,2,0.72,1205,2,56,97200,98300,97500,95100,96100
1,1,2008,3,15,5.412,57,308.238,329.6,2,0.72,1205,2,56,97200,98300,97500,95100,96100
