driverId,constructorId,circuitId,Did not finish,Podium,Pos 4 to 10,Accident / Collision,SC,Dry,Wet,pitStop timing (avg),pitStop timing prop(driver),grid,driver_error_rate,constructor_error_rate,circuit_error_rate,race_class
3,131,9,0,0,0.33,0,1,0.67,0,0,0.055303369,2,0.004854369,0.073717949,0.066225166,1
3,131,11,0,0,0.33,0,0.67,0.67,0,0,0.055303369,1,0.004854369,0.073717949,0.043046358,1
3,131,13,0,0,0.33,0,0.33,1,0,0,0.055303369,1,0.004854369,0.073717949,0.103571429,1
3,131,14,0,0,0.33,0,0,1,0,0,0.055303369,2,0.004854369,0.073717949,0.043046358,1
3,131,15,0,0,0.33,0,1,1,0,0,0.055303369,1,0.004854369,0.073717949,0.114678899,1
3,131,2,0,0,0.33,0,0.33,0.67,0,0,0.055303369,2,0.004854369,0.073717949,0.036184211,1
3,131,22,0,0,0.33,0,0.33,0.67,0.33,0,0.055303369,1,0.004854369,0.073717949,0.073359073,1
3,131,69,0,0,0.33,0,1,0.67,0,0,0.055303369,2,0.004854369,0.073717949,0.047619048,1
3,131,32,0,0,0.33,0,1,1,0,0,0.055303369,2,0.004854369,0.073717949,0.048387097,1
3,131,18,0,0,0.33,0,0,1,0,0,0.055303369,2,0.004854369,0.073717949,0.097643098,1
3,131,24,0,0,0.33,0,0,1,0,0,0.055303369,2,0.004854369,0.073717949,0.045918367,1
20,6,1,0.33,0.67,0,0,0.67,1,0,14763.33333,0.065532739,3,0.010050251,0.072243346,0.126245847,1
20,6,3,0,0.33,0.67,0,0.33,1,0,24046,0.065532739,3,0.010050251,0.072243346,0.028571429,0
20,6,17,0,0.33,0.33,0,0.33,1,0,21627,0.065532739,4,0.010050251,0.072243346,0.046357616,1
20,6,71,0,0.5,0.5,0,0.5,1,0,29367,0.065532739,7,0.010050251,0.072243346,0.108433735,0
20,6,4,0,0.33,0,0,0,1,0,20712.66667,0.065532739,6,0.010050251,0.072243346,0.069536424,1
20,6,6,0.33,0.67,0,0,1,1,0,24613,0.065532739,4,0.010050251,0.072243346,0.160535117,2
20,6,7,0,0.67,0.33,0,0.33,1,0,22727.66667,0.065532739,3,0.010050251,0.072243346,0.106382979,1
20,6,70,0.5,0,0,0,0.5,1,0,0,0.065532739,9,0.010050251,0.072243346,0.023809524,0
20,6,9,0.33,0.33,0.33,0,1,0.67,0,26439.5,0.065532739,11,0.010050251,0.072243346,0.066225166,2
20,6,11,0,0.67,0.33,0,0.67,0.67,0,20131.66667,0.065532739,5,0.010050251,0.072243346,0.043046358,2
20,6,13,0,0.33,0.33,0,0.33,1,0,22918.33333,0.065532739,4,0.010050251,0.072243346,0.103571429,2
20,6,14,0,0.67,0.33,0,0,1,0,24607,0.065532739,3,0.010050251,0.072243346,0.043046358,1
20,6,15,0,1,0,0,1,1,0,28980,0.065532739,22,0.010050251,0.072243346,0.114678899,2
20,6,2,0,1,0,0,0.33,0.67,0,23678.33333,0.065532739,5,0.010050251,0.072243346,0.036184211,0
20,6,22,0,1,0,0,0.33,0.67,0.33,23148.66667,0.065532739,6,0.010050251,0.072243346,0.073359073,2
20,6,69,0,0.67,0.33,0,1,0.67,0,24064,0.065532739,6,0.010050251,0.072243346,0.047619048,2
20,6,32,1,0,0,1,1,1,0,22156,0.065532739,7,0.010050251,0.072243346,0.048387097,2
20,6,18,0,0.67,0.33,0,0,1,0,23303.5,0.065532739,5,0.010050251,0.072243346,0.097643098,2
20,6,24,0,0.33,0.33,0,0,1,0,21463,0.065532739,5,0.010050251,0.072243346,0.045918367,1
20,6,1,0.33,0.67,0,0,1,1,0,15747.33333,0.051642082,2,0.010050251,0.072243346,0.126245847,1
20,6,17,0,0.67,0.33,0,0.67,1,0,22346.66667,0.051642082,2,0.010050251,0.072243346,0.046357616,1
20,6,3,0.33,0,0.67,0,0.33,1,0,13093,0.051642082,3,0.010050251,0.072243346,0.028571429,1
20,6,71,0.33,0.33,0.33,0.33,0.67,1,0,14683.5,0.051642082,1,0.010050251,0.072243346,0.108433735,1
