year,name,driverRef,statusId,position,Did not finish,Podium,Pos 4 to 10,Accident / Collision,SC,Dry,Wet,pitStop timing (avg),pitStop timing prop(driver),Medium,Soft,Super Soft,Ultra soft,Hard
2017,Brazilian Grand Prix,vettel,1.0,2.0,0.0,0.33,0.67,0.0,0.33,0.67,0.33,23303.5,0.051642082356504276,1.0,3.0,9.0,0.0,0.0
2017,Brazilian Grand Prix,bottas,1.0,1.0,0.0,0.0,0.33,0.0,0.33,0.67,0.33,25456.666666666668,0.05938552311299061,1.0,4.0,8.0,0.0,0.0
2017,Brazilian Grand Prix,raikkonen,1.0,3.0,0.33,0.0,0.33,0.33,0.33,0.67,0.33,17747.333333333332,0.05507723025496641,1.0,3.0,9.0,0.0,0.0
2017,Brazilian Grand Prix,hamilton,1.0,20.0,0.0,1.0,0.0,0.0,0.33,0.67,0.33,22905.0,0.05898933246587174,1.0,4.0,8.0,0.0,0.0
2017,Brazilian Grand Prix,verstappen,1.0,4.0,0.0,0.5,0.5,0.0,0.33,0.67,0.33,24059.5,0.06328790377158838,1.0,3.0,9.0,0.0,0.0
2017,Brazilian Grand Prix,ricciardo,1.0,5.0,0.33,0.0,0.33,0.0,0.33,0.67,0.33,24055.666666666668,0.06240069995176614,1.0,4.0,8.0,0.0,0.0
2017,Brazilian Grand Prix,massa,1.0,10.0,0.67,0.33,0.0,0.33,0.33,0.67,0.33,25159.5,0.05530336851787457,1.0,2.0,10.0,0.0,0.0
2017,Brazilian Grand Prix,alonso,1.0,7.0,0.0,0.0,0.33,0.0,0.33,0.67,0.33,23443.5,0.05609470287570995,1.0,3.0,9.0,0.0,0.0
2017,Brazilian Grand Prix,perez,1.0,6.0,0.0,0.0,0.0,0.0,0.33,0.67,0.33,23732.0,0.05934873077656508,1.0,4.0,8.0,0.0,0.0
2017,Brazilian Grand Prix,hulkenberg,1.0,8.0,0.0,0.0,1.0,0.0,0.33,0.67,0.33,23805.0,0.052870587443493475,1.0,2.0,10.0,0.0,0.0
2017,Brazilian Grand Prix,sainz,1.0,9.0,0.5,0.0,0.5,0.0,0.33,0.67,0.33,0.0,0.05152422723006801,1.0,2.0,10.0,0.0,0.0
2017,Brazilian Grand Prix,gasly,1.0,17.0,0.0,0.0,0.33,0.0,0.33,0.67,0.33,0.0,0.05530336851787457,1.0,4.0,8.0,0.0,0.0
2017,Brazilian Grand Prix,ericsson,1.0,19.0,0.5,0.0,0.0,0.5,0.33,0.67,0.33,25248.5,0.05190501295583798,1.0,3.0,9.0,0.0,0.0
2017,Brazilian Grand Prix,wehrlein,1.0,16.0,0.0,0.0,0.0,0.0,0.33,0.67,0.33,25509.0,0.057764566437462375,1.0,3.0,9.0,0.0,0.0
2017,Brazilian Grand Prix,grosjean,1.0,12.0,0.33,0.0,0.33,0.0,0.33,0.67,0.33,15718.333333333334,0.04185352611919371,1.0,4.0,8.0,0.0,0.0
2017,Brazilian Grand Prix,stroll,1.0,18.0,0.0,0.0,0.33,0.0,0.33,0.67,0.33,0.0,0.05530336851787457,1.0,2.0,10.0,0.0,0.0
2017,Brazilian Grand Prix,hartley,0.0,22.0,0.0,0.0,0.33,0.0,0.33,0.67,0.33,0.0,0.05530336851787457,1.0,4.0,8.0,0.0,0.0
2017,Brazilian Grand Prix,ocon,0.0,11.0,0.0,0.0,0.0,0.0,0.33,0.67,0.33,0.0,0.017950621992394753,1.0,4.0,8.0,0.0,0.0
2017,Brazilian Grand Prix,vandoorne,0.0,13.0,0.0,0.0,0.33,0.0,0.33,0.67,0.33,0.0,0.003786320280279831,1.0,3.0,9.0,0.0,0.0
2017,Brazilian Grand Prix,magnussen,0.0,14.0,0.0,0.0,0.5,0.0,0.33,0.67,0.33,24198.0,0.04952532651329048,1.0,4.0,8.0,0.0,0.0
2017,Mexican Grand Prix,hamilton,1.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,22018.5,0.05898933246587174,0.0,1.0,3.0,9.0,0.0
2017,Mexican Grand Prix,bottas,1.0,4.0,0.0,0.5,0.5,0.0,1.0,1.0,0.0,22778.0,0.05938552311299061,0.0,2.0,2.0,9.0,0.0
2017,Mexican Grand Prix,ricciardo,0.0,7.0,0.0,0.5,0.5,0.0,1.0,1.0,0.0,22465.5,0.06240069995176614,0.0,3.0,4.0,6.0,0.0
2017,Mexican Grand Prix,verstappen,1.0,2.0,0.0,0.0,0.5,0.0,1.0,1.0,0.0,22182.0,0.06328790377158838,0.0,3.0,4.0,6.0,0.0
2017,Mexican Grand Prix,vettel,1.0,1.0,0.5,0.0,0.5,0.5,1.0,1.0,0.0,22095.5,0.051642082356504276,0.0,1.0,5.0,7.0,0.0
2017,Mexican Grand Prix,raikkonen,1.0,5.0,0.5,0.0,0.5,0.5,1.0,1.0,0.0,11487.0,0.05507723025496641,0.0,2.0,4.0,7.0,0.0
2017,Mexican Grand Prix,perez,1.0,10.0,0.0,0.0,0.5,0.0,1.0,1.0,0.0,22880.0,0.05934873077656508,0.0,2.0,2.0,9.0,0.0
2017,Mexican Grand Prix,ocon,1.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,23866.0,0.017950621992394753,0.0,1.0,2.0,10.0,0.0
2017,Mexican Grand Prix,massa,1.0,11.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,22474.5,0.05530336851787457,0.0,2.0,1.0,10.0,0.0
2017,Mexican Grand Prix,stroll,1.0,12.0,0.0,0.0,0.33,0.0,1.0,1.0,0.0,0.0,0.05530336851787457,0.0,1.0,2.0,10.0,0.0
2017,Mexican Grand Prix,alonso,1.0,14.0,0.5,0.0,0.0,0.0,1.0,1.0,0.0,12585.5,0.05609470287570995,0.0,2.0,1.0,10.0,0.0
2017,Mexican Grand Prix,vandoorne,1.0,15.0,0.0,0.0,0.33,0.0,1.0,1.0,0.0,0.0,0.003786320280279831,0.0,1.0,2.0,10.0,0.0
